what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328199129843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328199131000
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1328199131312
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1328199132312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328199132812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328199136421
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1328199136890
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1328199142625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1328199148531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199152281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199152281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199152375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199153765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199158984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199159000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199159093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199160468
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328199167750
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328199169171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199171234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199172593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199173578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199176578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199177250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199178750
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1328199184593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199188156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199190015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199191531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199206828
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328199211984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199212468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328199216890
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328199218625
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328199277500
